epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9916,1.44521,3.6221,1.3265,0.43701,0.22658,0.18739,0.10131,1.62428,3.66591,1.39275,0.000659091,0.000659091,0.000659091
2,119.346,1.55112,2.92982,1.38188,0.37681,0.3159,0.27385,0.10999,1.94034,3.34686,1.59905,0.00131263,0.00131263,0.00131263
3,178.132,1.62977,2.60216,1.44254,0.40106,0.3268,0.28925,0.15355,1.78997,3.55541,1.55711,0.00195297,0.00195297,0.00195297
4,236.232,1.6686,2.38543,1.47016,0.45682,0.2963,0.29888,0.17272,1.68456,4.01496,1.51212,0.0019406,0.0019406,0.0019406
5,295.027,1.66661,2.21146,1.50132,0.45907,0.29412,0.30418,0.18311,1.64553,3.55613,1.48946,0.0019208,0.0019208,0.0019208
6,354.098,1.631,2.11015,1.45004,0.47602,0.32244,0.30037,0.17639,1.68613,2.46701,1.47825,0.001901,0.001901,0.001901
7,413.295,1.58858,2.03391,1.42153,0.44705,0.37694,0.34352,0.17541,1.80546,2.26213,1.5066,0.0018812,0.0018812,0.0018812
8,471.608,1.57903,1.99709,1.41688,0.5427,0.37255,0.39799,0.21195,1.69503,2.14407,1.44129,0.0018614,0.0018614,0.0018614
9,530.745,1.56368,1.98928,1.41859,0.59192,0.40087,0.42824,0.24086,1.64508,1.8837,1.39917,0.0018416,0.0018416,0.0018416
10,587.664,1.54727,1.90724,1.40357,0.51056,0.34641,0.3591,0.21507,1.58872,1.9743,1.4201,0.0018218,0.0018218,0.0018218
11,646.284,1.54284,1.89549,1.39916,0.45088,0.43827,0.40333,0.19419,1.82374,2.13515,1.51342,0.001802,0.001802,0.001802
12,704.803,1.51296,1.83761,1.35799,0.54987,0.3573,0.38087,0.23665,1.54242,1.94265,1.36604,0.0017822,0.0017822,0.0017822
13,763.312,1.50922,1.82615,1.36117,0.57444,0.40523,0.43111,0.24936,1.61298,1.97501,1.40016,0.0017624,0.0017624,0.0017624
14,821.695,1.49867,1.78376,1.37214,0.53684,0.40741,0.38811,0.21525,1.68245,2.28996,1.41522,0.0017426,0.0017426,0.0017426
15,881.95,1.49582,1.77183,1.34594,0.52414,0.39869,0.399,0.25267,1.47467,2.10646,1.31806,0.0017228,0.0017228,0.0017228
16,941.658,1.50219,1.80112,1.35318,0.52866,0.42484,0.42477,0.25173,1.61093,1.83451,1.37056,0.001703,0.001703,0.001703
17,1000.79,1.47769,1.7295,1.34211,0.62065,0.39922,0.44566,0.23812,1.67729,1.84343,1.40367,0.0016832,0.0016832,0.0016832
18,1059.07,1.46369,1.74519,1.34432,0.50972,0.38126,0.39081,0.2227,1.63574,2.0183,1.39841,0.0016634,0.0016634,0.0016634
19,1116.17,1.47831,1.71584,1.33384,0.64449,0.41176,0.45441,0.25988,1.57476,1.79016,1.34913,0.0016436,0.0016436,0.0016436
20,1174.23,1.47957,1.73408,1.34715,0.64583,0.41316,0.4797,0.29368,1.47635,1.69978,1.29921,0.0016238,0.0016238,0.0016238
21,1232.9,1.43296,1.64917,1.32005,0.54757,0.40871,0.43056,0.23945,1.64871,2.07768,1.37831,0.001604,0.001604,0.001604
22,1290.99,1.45647,1.66877,1.32702,0.64399,0.40741,0.46316,0.27084,1.57896,1.86013,1.34345,0.0015842,0.0015842,0.0015842
23,1349.12,1.44522,1.64439,1.31224,0.60219,0.37255,0.43427,0.23424,1.61924,1.86235,1.36939,0.0015644,0.0015644,0.0015644
24,1407.32,1.43262,1.64228,1.32073,0.55033,0.39434,0.42327,0.24918,1.61388,1.86667,1.39038,0.0015446,0.0015446,0.0015446
25,1466.5,1.43552,1.66323,1.32026,0.65975,0.41399,0.49046,0.295,1.50579,1.71544,1.3077,0.0015248,0.0015248,0.0015248
26,1523.94,1.43094,1.62295,1.31243,0.58629,0.43791,0.46265,0.25888,1.66636,1.75736,1.40713,0.001505,0.001505,0.001505
27,1582.84,1.41881,1.6131,1.30626,0.6057,0.43137,0.47573,0.28489,1.49617,1.71285,1.31325,0.0014852,0.0014852,0.0014852
28,1641.2,1.41647,1.5707,1.29826,0.63651,0.4578,0.48869,0.2843,1.53782,1.67924,1.34475,0.0014654,0.0014654,0.0014654
29,1698.67,1.40133,1.56863,1.2976,0.56197,0.42484,0.4643,0.26704,1.61891,1.6975,1.35943,0.0014456,0.0014456,0.0014456
30,1756.52,1.38362,1.55223,1.27566,0.59021,0.44662,0.46775,0.26629,1.64238,1.76753,1.37758,0.0014258,0.0014258,0.0014258
31,1815.22,1.40874,1.54444,1.28375,0.66593,0.40087,0.45826,0.28204,1.44905,1.70642,1.29366,0.001406,0.001406,0.001406
32,1873.84,1.39117,1.50508,1.2942,0.62483,0.45098,0.50578,0.28443,1.58477,1.63173,1.3284,0.0013862,0.0013862,0.0013862
33,1931.56,1.36191,1.5105,1.26337,0.59532,0.47114,0.47701,0.28071,1.56814,1.75117,1.3081,0.0013664,0.0013664,0.0013664
34,1988.85,1.38792,1.50788,1.26334,0.60662,0.44683,0.47051,0.26609,1.58694,1.68102,1.35378,0.0013466,0.0013466,0.0013466
35,2047.94,1.39165,1.48205,1.28084,0.6309,0.43791,0.49384,0.28602,1.61183,1.63285,1.3327,0.0013268,0.0013268,0.0013268
36,2105.73,1.38659,1.51091,1.28759,0.66475,0.44009,0.50469,0.28617,1.60187,1.70833,1.31794,0.001307,0.001307,0.001307
37,2164.55,1.37711,1.48994,1.26054,0.67004,0.40959,0.49487,0.28189,1.56957,1.64441,1.32055,0.0012872,0.0012872,0.0012872
38,2222.86,1.34857,1.46544,1.25816,0.61742,0.46187,0.50966,0.29853,1.53008,1.70673,1.32583,0.0012674,0.0012674,0.0012674
39,2280.77,1.37813,1.50103,1.26261,0.6371,0.43791,0.49336,0.2911,1.54341,1.6385,1.3108,0.0012476,0.0012476,0.0012476
40,2339.03,1.35764,1.47813,1.25965,0.62681,0.47571,0.5196,0.31274,1.49544,1.57191,1.29797,0.0012278,0.0012278,0.0012278
41,2396.32,1.34563,1.42944,1.24757,0.65681,0.45969,0.53121,0.31571,1.5356,1.5079,1.29934,0.001208,0.001208,0.001208
42,2454.35,1.36405,1.44577,1.26608,0.66551,0.43791,0.5028,0.29683,1.49618,1.57402,1.29445,0.0011882,0.0011882,0.0011882
43,2511.91,1.34501,1.40946,1.24273,0.62,0.49891,0.52567,0.29886,1.57648,1.58468,1.31646,0.0011684,0.0011684,0.0011684
44,2570.25,1.3576,1.42478,1.26684,0.64569,0.4488,0.51517,0.30884,1.49465,1.56715,1.28294,0.0011486,0.0011486,0.0011486
45,2627.53,1.33448,1.41886,1.25003,0.62161,0.47712,0.5289,0.30737,1.50591,1.55681,1.31019,0.0011288,0.0011288,0.0011288
46,2685.1,1.33828,1.41967,1.25348,0.6083,0.47059,0.51901,0.30292,1.54966,1.56325,1.31588,0.001109,0.001109,0.001109
47,2742.3,1.31801,1.41427,1.24914,0.65539,0.46405,0.52727,0.31244,1.51847,1.54392,1.3046,0.0010892,0.0010892,0.0010892
48,2799.51,1.31922,1.38741,1.24647,0.64529,0.50545,0.53598,0.3452,1.43019,1.47051,1.25694,0.0010694,0.0010694,0.0010694
49,2857.55,1.30811,1.35974,1.22801,0.6607,0.46405,0.52492,0.31338,1.50838,1.56055,1.30113,0.0010496,0.0010496,0.0010496
