epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.139,1.4957,3.05933,1.44995,0.30306,0.23684,0.17579,0.07719,1.75028,3.76503,1.68569,0.000662857,0.000662857,0.000662857
2,168.323,1.70955,2.31771,1.55975,0.41059,0.20915,0.19576,0.09735,1.99011,5.12074,1.90497,0.00131636,0.00131636,0.00131636
3,251.556,1.75166,2.24724,1.57643,0.4312,0.24609,0.2383,0.13125,1.79535,3.93909,1.65024,0.00195667,0.00195667,0.00195667
4,334.259,1.75688,2.28515,1.58486,0.46009,0.30501,0.3069,0.15919,1.82749,2.46175,1.57896,0.0019406,0.0019406,0.0019406
5,417.953,1.72774,2.23599,1.5546,0.41783,0.22658,0.22539,0.11846,1.91029,2.9274,1.72483,0.0019208,0.0019208,0.0019208
6,501.077,1.68096,2.1799,1.51719,0.45006,0.34641,0.32811,0.18797,1.6726,2.2726,1.44768,0.001901,0.001901,0.001901
7,584.501,1.64643,2.08965,1.48547,0.53719,0.38185,0.37899,0.20113,1.70197,2.52524,1.46772,0.0018812,0.0018812,0.0018812
8,667.65,1.65473,2.05771,1.48726,0.50639,0.33769,0.37335,0.1973,1.78469,2.03258,1.5127,0.0018614,0.0018614,0.0018614
9,750.39,1.60303,2.02315,1.45941,0.53265,0.37908,0.39739,0.2202,1.68557,1.88537,1.42741,0.0018416,0.0018416,0.0018416
10,833.572,1.567,1.96823,1.45071,0.44586,0.32462,0.31355,0.18789,1.58383,2.18015,1.44752,0.0018218,0.0018218,0.0018218
11,916.373,1.55382,1.91677,1.42572,0.54788,0.40523,0.405,0.2283,1.66639,1.9761,1.4679,0.001802,0.001802,0.001802
12,999.997,1.53522,1.88344,1.41354,0.58282,0.38126,0.40933,0.22712,1.66784,1.94609,1.43346,0.0017822,0.0017822,0.0017822
13,1082.74,1.5327,1.87537,1.40582,0.50746,0.40087,0.39137,0.22916,1.64713,1.96762,1.43379,0.0017624,0.0017624,0.0017624
14,1165.26,1.52675,1.85034,1.40322,0.53612,0.42484,0.42347,0.24117,1.68807,1.94731,1.46515,0.0017426,0.0017426,0.0017426
15,1248.89,1.5292,1.85032,1.40231,0.51447,0.40959,0.4177,0.23898,1.63668,1.95313,1.41026,0.0017228,0.0017228,0.0017228
