epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5559,1.53316,2.73587,1.32369,0.00643,0.21569,0.1043,0.05053,1.59352,3.42201,1.33694,0.00062,0.00062,0.00062
2,65.0877,1.57658,2.05337,1.36132,0.24564,0.19608,0.12255,0.06363,1.66689,2.72022,1.4608,0.00124753,0.00124753,0.00124753
3,95.2247,1.61961,2.0003,1.36878,0.26027,0.04139,0.03208,0.01291,1.86633,17.0104,1.70868,0.00186238,0.00186238,0.00186238
4,124.484,1.61048,1.88384,1.39456,0.35165,0.26362,0.21066,0.1091,1.85685,3.15575,1.6237,0.0019406,0.0019406,0.0019406
5,152.954,1.61056,1.81812,1.38722,0.4364,0.30937,0.27221,0.14456,1.77615,2.38329,1.44443,0.0019208,0.0019208,0.0019208
6,183.049,1.60016,1.74514,1.38094,0.47703,0.3268,0.29408,0.16595,1.59038,2.00053,1.41065,0.001901,0.001901,0.001901
7,213.749,1.61713,1.7176,1.4109,0.48776,0.33816,0.34568,0.16837,1.87376,2.11006,1.52843,0.0018812,0.0018812,0.0018812
8,241.845,1.60779,1.69291,1.37137,0.49319,0.39434,0.36144,0.21133,1.57969,1.89128,1.32742,0.0018614,0.0018614,0.0018614
9,273.337,1.57852,1.6178,1.35034,0.48338,0.37473,0.36201,0.19618,1.70901,1.75666,1.36384,0.0018416,0.0018416,0.0018416
10,302.396,1.55619,1.6118,1.34631,0.51175,0.33112,0.33713,0.19137,1.67879,1.90022,1.38443,0.0018218,0.0018218,0.0018218
11,334.5,1.54727,1.63562,1.36573,0.53027,0.35076,0.35514,0.17677,1.83425,2.5776,1.49251,0.001802,0.001802,0.001802
12,364.317,1.5094,1.55076,1.316,0.57263,0.37073,0.40571,0.23481,1.57704,1.73606,1.32281,0.0017822,0.0017822,0.0017822
13,394.677,1.50213,1.5372,1.3064,0.52216,0.36901,0.36649,0.20176,1.72543,1.69962,1.41615,0.0017624,0.0017624,0.0017624
14,425.662,1.4974,1.51047,1.31438,0.59672,0.40959,0.44007,0.25594,1.5603,1.82113,1.31839,0.0017426,0.0017426,0.0017426
15,454.101,1.48453,1.50972,1.31048,0.58678,0.36819,0.40147,0.22407,1.7159,1.93004,1.34938,0.0017228,0.0017228,0.0017228
16,485.907,1.5168,1.502,1.31891,0.59403,0.41176,0.41407,0.23223,1.66343,1.59809,1.34104,0.001703,0.001703,0.001703
17,515.441,1.47056,1.51669,1.3018,0.64672,0.3573,0.40787,0.2284,1.6272,1.80798,1.325,0.0016832,0.0016832,0.0016832
18,547.68,1.46801,1.4597,1.29293,0.57582,0.3878,0.41281,0.25622,1.45789,1.6316,1.28626,0.0016634,0.0016634,0.0016634
19,576.755,1.4611,1.48173,1.29773,0.48818,0.43573,0.4106,0.23388,1.67609,1.76118,1.39059,0.0016436,0.0016436,0.0016436
20,606.079,1.44917,1.41401,1.28227,0.63856,0.40741,0.43622,0.23622,1.69812,1.58376,1.34728,0.0016238,0.0016238,0.0016238
21,634.988,1.44054,1.36876,1.27064,0.64247,0.40305,0.46378,0.25314,1.67093,1.51411,1.33504,0.001604,0.001604,0.001604
22,664.646,1.4589,1.3743,1.27835,0.57317,0.43791,0.45175,0.2587,1.62733,1.47837,1.31351,0.0015842,0.0015842,0.0015842
23,696.191,1.46089,1.43452,1.28855,0.612,0.40741,0.45607,0.24394,1.69539,1.58175,1.3523,0.0015644,0.0015644,0.0015644
24,724.737,1.40825,1.36649,1.26643,0.6651,0.40959,0.46713,0.25999,1.62211,1.55107,1.3076,0.0015446,0.0015446,0.0015446
25,755.757,1.41393,1.35323,1.28113,0.62071,0.40305,0.44476,0.24202,1.6572,1.59419,1.33223,0.0015248,0.0015248,0.0015248
26,785.596,1.43884,1.35569,1.26824,0.68219,0.37691,0.43072,0.23271,1.70441,1.74998,1.3668,0.001505,0.001505,0.001505
27,813.867,1.40981,1.34299,1.25233,0.5465,0.43137,0.44692,0.26177,1.53555,1.54495,1.31138,0.0014852,0.0014852,0.0014852
28,845.573,1.44477,1.37696,1.27146,0.63747,0.39651,0.42743,0.25267,1.57319,1.74219,1.30526,0.0014654,0.0014654,0.0014654
29,874.475,1.40564,1.3213,1.26359,0.64142,0.39216,0.4481,0.23905,1.67172,1.54098,1.33134,0.0014456,0.0014456,0.0014456
30,905.375,1.39333,1.32615,1.26258,0.65275,0.44227,0.48537,0.28246,1.56148,1.47869,1.27692,0.0014258,0.0014258,0.0014258
31,934.939,1.41079,1.33743,1.25406,0.62941,0.41176,0.44651,0.27069,1.46862,1.5506,1.26353,0.001406,0.001406,0.001406
32,965.273,1.40097,1.31386,1.25205,0.64142,0.40523,0.45617,0.25544,1.62222,1.57596,1.31039,0.0013862,0.0013862,0.0013862
33,993.727,1.37891,1.30656,1.25733,0.57723,0.44917,0.46746,0.28488,1.51809,1.46169,1.27857,0.0013664,0.0013664,0.0013664
34,1022.73,1.37878,1.2922,1.23648,0.66346,0.43809,0.49003,0.2803,1.58335,1.48621,1.28266,0.0013466,0.0013466,0.0013466
35,1053.92,1.36644,1.237,1.21873,0.68894,0.4183,0.47879,0.26204,1.62759,1.54557,1.3076,0.0013268,0.0013268,0.0013268
36,1081.86,1.35749,1.2242,1.21514,0.66027,0.43137,0.4746,0.27035,1.58063,1.48008,1.28351,0.001307,0.001307,0.001307
37,1113.19,1.37846,1.23613,1.22644,0.66171,0.38779,0.42986,0.25852,1.51898,1.67206,1.26287,0.0012872,0.0012872,0.0012872
38,1141.64,1.36869,1.23291,1.2201,0.67113,0.39124,0.45357,0.2652,1.56629,1.49314,1.27222,0.0012674,0.0012674,0.0012674
39,1171.96,1.38753,1.26812,1.23966,0.70782,0.44862,0.49725,0.2808,1.52196,1.43668,1.25557,0.0012476,0.0012476,0.0012476
40,1203.02,1.36379,1.23803,1.23186,0.67407,0.46187,0.50269,0.27973,1.57157,1.43002,1.29425,0.0012278,0.0012278,0.0012278
41,1233.7,1.35597,1.23348,1.22576,0.61752,0.41506,0.45736,0.28528,1.45739,1.52939,1.25597,0.001208,0.001208,0.001208
42,1263.63,1.3398,1.22474,1.21878,0.72337,0.39651,0.48497,0.26508,1.66847,1.4621,1.31441,0.0011882,0.0011882,0.0011882
43,1294.06,1.33944,1.22348,1.21403,0.67163,0.45969,0.50481,0.30389,1.50374,1.35458,1.24625,0.0011684,0.0011684,0.0011684
44,1324.45,1.33883,1.20309,1.22305,0.69849,0.42484,0.48959,0.28654,1.52538,1.4609,1.28361,0.0011486,0.0011486,0.0011486
45,1352.92,1.32011,1.18355,1.211,0.62657,0.43137,0.45996,0.29459,1.35115,1.40528,1.20612,0.0011288,0.0011288,0.0011288
46,1382.02,1.3122,1.17733,1.20301,0.68965,0.41612,0.47628,0.26896,1.61101,1.42536,1.28952,0.001109,0.001109,0.001109
47,1413.73,1.30485,1.19072,1.22001,0.6779,0.40523,0.47405,0.30155,1.39891,1.44609,1.22744,0.0010892,0.0010892,0.0010892
48,1443.13,1.31505,1.18495,1.20658,0.60998,0.48584,0.51778,0.31935,1.41187,1.3565,1.23143,0.0010694,0.0010694,0.0010694
49,1473.91,1.31097,1.17905,1.18691,0.63925,0.46623,0.50666,0.3207,1.37534,1.39078,1.20977,0.0010496,0.0010496,0.0010496
50,1502.84,1.30562,1.15128,1.18768,0.66669,0.43355,0.4778,0.30856,1.34228,1.43612,1.19935,0.0010298,0.0010298,0.0010298
51,1534.5,1.29452,1.14522,1.18835,0.72238,0.4488,0.50838,0.31811,1.39944,1.40292,1.21781,0.00101,0.00101,0.00101
52,1563.23,1.31384,1.18408,1.20157,0.73786,0.42926,0.50662,0.32258,1.36389,1.34645,1.21575,0.0009902,0.0009902,0.0009902
53,1591.54,1.26571,1.10564,1.18029,0.65826,0.43137,0.5054,0.31362,1.40306,1.37239,1.2186,0.0009704,0.0009704,0.0009704
54,1622.72,1.29796,1.16369,1.19988,0.67383,0.43791,0.47782,0.30686,1.3678,1.35635,1.21508,0.0009506,0.0009506,0.0009506
55,1651.58,1.27275,1.14006,1.18807,0.63041,0.43791,0.47949,0.31775,1.3402,1.39002,1.19929,0.0009308,0.0009308,0.0009308
