epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2306,1.50043,2.46412,1.3222,0.36254,0.33551,0.26654,0.13004,1.73307,6.65019,1.5307,0.000650794,0.000650794,0.000650794
2,67.3389,1.599,1.78128,1.40559,0.28459,0.29847,0.18777,0.09985,2.05947,3.76554,1.95,0.00130442,0.00130442,0.00130442
3,101.355,1.71401,1.90552,1.48285,0.01939,0.35076,0.0115,0.00481,2.38864,inf,2.25469,0.00194484,0.00194484,0.00194484
4,133.377,1.68704,1.83974,1.47908,0.18269,0.30937,0.14158,0.06567,1.79793,8.62606,1.67572,0.0019406,0.0019406,0.0019406
5,165.512,1.67715,1.76772,1.44139,0.33803,0.30501,0.23692,0.13481,1.5517,2.76049,1.36036,0.0019208,0.0019208,0.0019208
6,199.515,1.61808,1.76222,1.41713,0.33296,0.2549,0.1933,0.10506,1.69503,3.71415,1.50655,0.001901,0.001901,0.001901
7,230.972,1.6093,1.67475,1.41259,0.31007,0.30719,0.20558,0.11321,1.64456,2.402,1.38805,0.0018812,0.0018812,0.0018812
8,264.875,1.5659,1.65699,1.3902,0.52152,0.32462,0.33596,0.19716,1.50777,2.12964,1.35246,0.0018614,0.0018614,0.0018614
9,296.476,1.5873,1.64237,1.40422,0.44393,0.35948,0.34309,0.18936,1.68844,1.92644,1.39038,0.0018416,0.0018416,0.0018416
10,329.856,1.5358,1.56823,1.36269,0.54128,0.35734,0.3626,0.21299,1.5464,2.12752,1.34288,0.0018218,0.0018218,0.0018218
11,361.425,1.54364,1.60768,1.37695,0.59137,0.40741,0.43747,0.25196,1.63921,1.74372,1.46285,0.001802,0.001802,0.001802
12,394.674,1.51756,1.54182,1.35652,0.53617,0.40741,0.40276,0.22186,1.70331,1.66651,1.42217,0.0017822,0.0017822,0.0017822
13,426.555,1.50946,1.52582,1.3464,0.57718,0.40741,0.43841,0.23758,1.65386,1.96262,1.37027,0.0017624,0.0017624,0.0017624
14,459.327,1.50079,1.51172,1.33204,0.54797,0.42484,0.4407,0.24469,1.6508,1.4717,1.37698,0.0017426,0.0017426,0.0017426
15,491.542,1.48568,1.4727,1.32545,0.61723,0.40305,0.44389,0.2532,1.51432,1.48455,1.2765,0.0017228,0.0017228,0.0017228
16,525.636,1.46671,1.49849,1.32978,0.61621,0.39869,0.43606,0.25118,1.55317,1.84474,1.28793,0.001703,0.001703,0.001703
17,557.942,1.43462,1.44223,1.29649,0.64286,0.40959,0.45571,0.27609,1.39115,1.48491,1.22385,0.0016832,0.0016832,0.0016832
18,590.283,1.43367,1.42248,1.30687,0.61995,0.40305,0.44131,0.25814,1.47995,1.71628,1.2803,0.0016634,0.0016634,0.0016634
19,623.771,1.43343,1.40576,1.2824,0.65816,0.38591,0.44042,0.23679,1.77839,1.73954,1.4257,0.0016436,0.0016436,0.0016436
20,654.836,1.44047,1.4023,1.29814,0.57654,0.42266,0.45251,0.28113,1.52959,1.53365,1.35209,0.0016238,0.0016238,0.0016238
21,689.154,1.4085,1.34678,1.26887,0.58603,0.45337,0.4802,0.28864,1.4872,1.44686,1.28868,0.001604,0.001604,0.001604
22,721.488,1.41849,1.34083,1.28088,0.59603,0.41176,0.44945,0.23913,1.6043,1.6688,1.31039,0.0015842,0.0015842,0.0015842
23,755.335,1.43266,1.36442,1.27874,0.61362,0.42702,0.45757,0.27033,1.57338,1.47604,1.33218,0.0015644,0.0015644,0.0015644
24,787.095,1.41852,1.34897,1.26941,0.52014,0.44396,0.43997,0.25516,1.65281,1.66691,1.32913,0.0015446,0.0015446,0.0015446
25,820.775,1.38863,1.34342,1.25933,0.52579,0.43724,0.4442,0.24873,1.71208,1.74054,1.4262,0.0015248,0.0015248,0.0015248
26,851.672,1.41623,1.3468,1.27656,0.70669,0.42266,0.48803,0.29508,1.44401,1.28667,1.22378,0.001505,0.001505,0.001505
27,884.442,1.39294,1.30468,1.27086,0.57242,0.47712,0.47854,0.28895,1.51838,1.48503,1.3494,0.0014852,0.0014852,0.0014852
28,917.095,1.38566,1.29513,1.263,0.66082,0.42872,0.48086,0.26845,1.69756,1.42133,1.42016,0.0014654,0.0014654,0.0014654
29,948.996,1.37822,1.26442,1.25765,0.70966,0.42702,0.49895,0.29702,1.55172,1.36396,1.34267,0.0014456,0.0014456,0.0014456
30,982.32,1.37988,1.28602,1.27211,0.69597,0.41893,0.48751,0.27462,1.546,1.48464,1.28952,0.0014258,0.0014258,0.0014258
31,1014.5,1.35507,1.26835,1.24165,0.64595,0.41735,0.46082,0.26736,1.49518,1.42391,1.24337,0.001406,0.001406,0.001406
32,1047.51,1.36908,1.25777,1.27042,0.57492,0.44444,0.4609,0.26651,1.5956,1.37502,1.30988,0.0013862,0.0013862,0.0013862
33,1078.92,1.3701,1.2471,1.25452,0.60095,0.42324,0.47103,0.26136,1.68994,1.64107,1.36204,0.0013664,0.0013664,0.0013664
34,1112.55,1.33934,1.24614,1.24043,0.61704,0.44227,0.48197,0.27428,1.65815,1.57971,1.37978,0.0013466,0.0013466,0.0013466
35,1144.04,1.38077,1.23657,1.25356,0.62427,0.42702,0.48454,0.25755,1.80478,1.64456,1.44303,0.0013268,0.0013268,0.0013268
36,1178.47,1.35132,1.23615,1.24185,0.70138,0.4503,0.51557,0.30251,1.66081,1.27186,1.39861,0.001307,0.001307,0.001307
37,1209.3,1.32942,1.20702,1.21552,0.70864,0.43573,0.5036,0.30221,1.53632,1.34672,1.26214,0.0012872,0.0012872,0.0012872
38,1242.35,1.33494,1.19841,1.22854,0.69559,0.42315,0.48798,0.28008,1.49001,1.30929,1.23181,0.0012674,0.0012674,0.0012674
39,1274.63,1.35827,1.24426,1.23584,0.61978,0.46405,0.50212,0.29664,1.47294,1.45858,1.26901,0.0012476,0.0012476,0.0012476
40,1307.96,1.31964,1.17902,1.22039,0.66905,0.47567,0.51959,0.29271,1.58173,1.49481,1.29771,0.0012278,0.0012278,0.0012278
41,1341.11,1.30739,1.15554,1.20692,0.70251,0.44009,0.48914,0.28694,1.49423,1.61268,1.25437,0.001208,0.001208,0.001208
42,1371.8,1.27051,1.1055,1.18534,0.64629,0.47059,0.50586,0.30183,1.47062,1.54041,1.27543,0.0011882,0.0011882,0.0011882
43,1405.08,1.31322,1.18102,1.2156,0.65563,0.43137,0.48726,0.30996,1.41026,1.28456,1.39359,0.0011684,0.0011684,0.0011684
44,1437.77,1.27037,1.17575,1.19828,0.68849,0.45098,0.51661,0.30039,1.55002,1.29305,1.37107,0.0011486,0.0011486,0.0011486
