epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7627,1.55031,2.94201,1.33174,0.77385,0.04762,0.12937,0.06803,1.67347,3.31181,1.23208,0.00046,0.00046,0.00046
2,73.7902,1.54258,2.1074,1.32363,0.52937,0.06211,0.07923,0.03409,1.80084,3.24056,1.4612,0.000930694,0.000930694,0.000930694
3,103.535,1.63705,2.07559,1.36623,0.04902,0.16977,0.01898,0.00796,1.97294,3.84501,1.98259,0.00139188,0.00139188,0.00139188
4,133.04,1.67268,2.02261,1.43341,0.00656,0.00828,0.00135,0.00047,3.56618,64.9118,7.99931,0.00184357,0.00184357,0.00184357
5,163.459,1.73149,1.99513,1.45951,0.33566,0.16563,0.14064,0.07855,1.85602,4.27624,1.7767,0.0019208,0.0019208,0.0019208
6,193.553,1.71238,1.89318,1.46111,0.07821,0.08282,0.03095,0.01567,2.05064,4.65415,1.74004,0.001901,0.001901,0.001901
7,223.226,1.67139,1.84186,1.4209,0.15192,0.22153,0.07969,0.03963,1.76914,10.4893,1.53282,0.0018812,0.0018812,0.0018812
8,254.696,1.67377,1.80438,1.4252,0.36893,0.29049,0.24075,0.1288,1.73715,4.53699,1.47566,0.0018614,0.0018614,0.0018614
9,283.971,1.60488,1.75888,1.36698,0.44429,0.23602,0.21887,0.12695,1.61211,3.79561,1.40599,0.0018416,0.0018416,0.0018416
10,314.875,1.61247,1.72423,1.38474,0.42528,0.30849,0.25977,0.13807,1.72643,2.14732,1.42328,0.0018218,0.0018218,0.0018218
11,344.839,1.57055,1.66629,1.37457,0.39955,0.26708,0.25769,0.13144,1.88228,2.23073,1.50053,0.001802,0.001802,0.001802
12,375.373,1.60329,1.69333,1.38875,0.42286,0.28778,0.26409,0.12584,1.90546,2.10566,1.52191,0.0017822,0.0017822,0.0017822
13,403.905,1.56443,1.62345,1.37244,0.61059,0.29814,0.31544,0.18027,1.64511,2.04029,1.40314,0.0017624,0.0017624,0.0017624
14,434.241,1.56291,1.62549,1.37331,0.55367,0.31677,0.3243,0.16667,1.75653,1.95892,1.4424,0.0017426,0.0017426,0.0017426
15,464.149,1.5608,1.60237,1.3536,0.52812,0.34294,0.35286,0.20133,1.62504,1.68166,1.35089,0.0017228,0.0017228,0.0017228
16,490.996,1.51853,1.53643,1.34314,0.52924,0.31884,0.33251,0.1967,1.58784,1.93771,1.31645,0.001703,0.001703,0.001703
17,521.298,1.53033,1.55839,1.33481,0.57293,0.28986,0.3299,0.18903,1.60009,1.72732,1.29776,0.0016832,0.0016832,0.0016832
18,552.83,1.48869,1.53716,1.3194,0.46875,0.35258,0.33709,0.18463,1.70045,2.04484,1.39149,0.0016634,0.0016634,0.0016634
19,581.433,1.5315,1.56454,1.3453,0.57282,0.33126,0.35035,0.21286,1.45451,1.80235,1.23234,0.0016436,0.0016436,0.0016436
20,611.396,1.47468,1.49553,1.30996,0.5004,0.33333,0.32191,0.1804,1.63388,1.91983,1.33124,0.0016238,0.0016238,0.0016238
21,639.43,1.47608,1.48565,1.29939,0.55174,0.32364,0.34439,0.19377,1.65177,1.69197,1.33474,0.001604,0.001604,0.001604
22,670.645,1.49954,1.48619,1.31043,0.53582,0.33954,0.35633,0.20198,1.6401,1.69037,1.31721,0.0015842,0.0015842,0.0015842
23,699.178,1.47857,1.49576,1.32317,0.52654,0.32919,0.33631,0.19029,1.6362,1.67543,1.30229,0.0015644,0.0015644,0.0015644
24,729.689,1.47824,1.45056,1.28472,0.54965,0.36025,0.3649,0.19706,1.67508,1.59477,1.35107,0.0015446,0.0015446,0.0015446
25,758.081,1.46032,1.42385,1.27254,0.54627,0.37888,0.39511,0.22122,1.60332,1.5667,1.29998,0.0015248,0.0015248,0.0015248
26,788.193,1.49416,1.48049,1.30379,0.64025,0.30228,0.35821,0.21081,1.58392,1.61672,1.27999,0.001505,0.001505,0.001505
27,816.409,1.4598,1.43181,1.29795,0.58029,0.33747,0.37995,0.23334,1.5154,1.67295,1.27104,0.0014852,0.0014852,0.0014852
28,846.089,1.45804,1.44873,1.27954,0.60421,0.35818,0.38475,0.23933,1.44448,1.52792,1.2588,0.0014654,0.0014654,0.0014654
29,874.536,1.42223,1.39747,1.25774,0.57679,0.40915,0.40896,0.23998,1.45246,1.55801,1.2368,0.0014456,0.0014456,0.0014456
30,903.326,1.43843,1.39121,1.27745,0.52328,0.4058,0.3952,0.22589,1.52421,1.49864,1.26781,0.0014258,0.0014258,0.0014258
31,934.051,1.42913,1.40278,1.27435,0.57082,0.35197,0.39509,0.23008,1.56393,1.64259,1.28517,0.001406,0.001406,0.001406
32,964.207,1.43689,1.3657,1.25572,0.57594,0.35404,0.3828,0.21169,1.64253,1.61516,1.32969,0.0013862,0.0013862,0.0013862
33,994.812,1.45093,1.39708,1.26872,0.5729,0.37474,0.40769,0.23421,1.55779,1.57373,1.2771,0.0013664,0.0013664,0.0013664
34,1024.18,1.41628,1.35769,1.27274,0.57794,0.36853,0.36964,0.21928,1.52002,1.83617,1.28948,0.0013466,0.0013466,0.0013466
35,1055.44,1.4228,1.384,1.27352,0.59132,0.3706,0.39438,0.21691,1.65919,1.48849,1.32251,0.0013268,0.0013268,0.0013268
36,1084.46,1.41707,1.33404,1.26443,0.61423,0.34161,0.39421,0.23465,1.55396,1.53059,1.2599,0.001307,0.001307,0.001307
37,1114.32,1.42495,1.34301,1.26008,0.66937,0.33532,0.38998,0.22447,1.59459,1.52479,1.31324,0.0012872,0.0012872,0.0012872
38,1143.69,1.40542,1.34136,1.25851,0.60752,0.38302,0.41312,0.23028,1.64886,1.53332,1.31643,0.0012674,0.0012674,0.0012674
39,1173.79,1.38107,1.30331,1.24495,0.67686,0.36853,0.42412,0.24547,1.56217,1.457,1.2706,0.0012476,0.0012476,0.0012476
40,1202.91,1.40786,1.33234,1.2488,0.66217,0.35404,0.39889,0.23043,1.56576,1.53953,1.28395,0.0012278,0.0012278,0.0012278
41,1233.68,1.39791,1.30961,1.25478,0.62956,0.37267,0.40724,0.22559,1.66183,1.53322,1.31383,0.001208,0.001208,0.001208
42,1263.86,1.39849,1.29446,1.24208,0.74803,0.33333,0.41237,0.23795,1.5599,1.49434,1.28293,0.0011882,0.0011882,0.0011882
43,1292.48,1.3823,1.28887,1.24002,0.63559,0.38923,0.42587,0.25393,1.50912,1.49211,1.25547,0.0011684,0.0011684,0.0011684
44,1321.01,1.37446,1.27078,1.22566,0.65813,0.34675,0.40871,0.2394,1.5264,1.5074,1.25468,0.0011486,0.0011486,0.0011486
45,1351.77,1.37817,1.25864,1.22127,0.60722,0.3937,0.42754,0.22589,1.72519,1.50325,1.32858,0.0011288,0.0011288,0.0011288
46,1381,1.37934,1.27971,1.23659,0.62871,0.38095,0.42279,0.23818,1.59147,1.55064,1.26544,0.001109,0.001109,0.001109
47,1409.4,1.38418,1.27614,1.25177,0.64699,0.3913,0.44062,0.25285,1.52427,1.47466,1.24785,0.0010892,0.0010892,0.0010892
48,1439.19,1.37314,1.25173,1.24898,0.6932,0.36646,0.4361,0.26733,1.48668,1.4552,1.23426,0.0010694,0.0010694,0.0010694
49,1469.64,1.38397,1.28279,1.23306,0.68432,0.34559,0.41501,0.25674,1.44996,1.49367,1.21553,0.0010496,0.0010496,0.0010496
50,1498.64,1.35066,1.2333,1.2259,0.7258,0.36025,0.43367,0.26838,1.49468,1.42183,1.22323,0.0010298,0.0010298,0.0010298
51,1526.47,1.36838,1.27041,1.21818,0.64807,0.37474,0.42834,0.25369,1.53085,1.46064,1.24453,0.00101,0.00101,0.00101
52,1556.65,1.36414,1.23599,1.21193,0.68241,0.37888,0.43774,0.25103,1.54528,1.4303,1.2307,0.0009902,0.0009902,0.0009902
53,1586.38,1.34338,1.24781,1.21467,0.63884,0.39552,0.4314,0.24814,1.59275,1.44977,1.27037,0.0009704,0.0009704,0.0009704
54,1615.48,1.33143,1.22559,1.22967,0.70441,0.40994,0.45669,0.23493,1.73826,1.43816,1.32367,0.0009506,0.0009506,0.0009506
55,1644.31,1.35682,1.22562,1.22628,0.57828,0.4265,0.44414,0.25549,1.5631,1.36698,1.26659,0.0009308,0.0009308,0.0009308
56,1675.19,1.32976,1.19892,1.22536,0.67798,0.39545,0.45014,0.26037,1.54447,1.34312,1.2498,0.000911,0.000911,0.000911
57,1704.09,1.34931,1.23105,1.22475,0.59331,0.39545,0.446,0.26481,1.51135,1.42332,1.22721,0.0008912,0.0008912,0.0008912
58,1734.35,1.32048,1.17806,1.20129,0.69275,0.39752,0.4586,0.28898,1.37188,1.35343,1.17242,0.0008714,0.0008714,0.0008714
59,1764.18,1.32087,1.18091,1.20914,0.76107,0.36232,0.44833,0.27796,1.48034,1.40239,1.21489,0.0008516,0.0008516,0.0008516
60,1794.25,1.33716,1.17682,1.20038,0.60315,0.39545,0.44834,0.2596,1.57474,1.3764,1.24821,0.0008318,0.0008318,0.0008318
61,1825.95,1.319,1.18637,1.19249,0.64884,0.42029,0.45968,0.2777,1.44581,1.33238,1.20225,0.000812,0.000812,0.000812
62,1855.21,1.31543,1.16954,1.18388,0.68091,0.37267,0.44589,0.2785,1.40227,1.34022,1.1896,0.0007922,0.0007922,0.0007922
63,1885.28,1.30797,1.17312,1.20394,0.58064,0.39846,0.41004,0.26975,1.34448,1.42115,1.22733,0.0007724,0.0007724,0.0007724
64,1915.11,1.27189,1.14138,1.17258,0.63724,0.36439,0.4017,0.26782,1.37504,1.49686,1.25738,0.0007526,0.0007526,0.0007526
65,1944.89,1.28565,1.1475,1.17165,0.65741,0.36439,0.4179,0.28852,1.27758,1.37821,1.17802,0.0007328,0.0007328,0.0007328
66,1975.7,1.28862,1.15393,1.18236,0.67231,0.37681,0.45005,0.29633,1.26953,1.3154,1.1781,0.000713,0.000713,0.000713
67,2004.99,1.25155,1.12137,1.17002,0.63871,0.38432,0.43377,0.28731,1.24542,1.38199,1.17817,0.0006932,0.0006932,0.0006932
68,2033.81,1.25562,1.12851,1.17405,0.68142,0.38528,0.43491,0.2982,1.2025,1.33853,1.15574,0.0006734,0.0006734,0.0006734
69,2064.17,1.23415,1.11094,1.16587,0.65378,0.39878,0.44088,0.30176,1.2104,1.3162,1.16077,0.0006536,0.0006536,0.0006536
70,2093.38,1.23634,1.09593,1.17125,0.67562,0.37681,0.42667,0.2997,1.17818,1.31921,1.16539,0.0006338,0.0006338,0.0006338
71,2122.03,1.23316,1.09625,1.14608,0.72084,0.37681,0.44842,0.30285,1.19942,1.3406,1.16877,0.000614,0.000614,0.000614
72,2151.95,1.21898,1.10336,1.15351,0.75346,0.37333,0.45087,0.30034,1.26577,1.30746,1.16018,0.0005942,0.0005942,0.0005942
