epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4603,1.57581,2.39293,1.50488,0.18543,0.05797,0.04107,0.01716,1.92942,19.3532,2.18511,0.000655367,0.000655367,0.000655367
2,77.7122,1.76902,2.08281,1.64413,0.09733,0.15114,0.02894,0.00974,2.09579,50.9859,3.0149,0.00130895,0.00130895,0.00130895
3,114.609,1.8286,2.08358,1.64867,0.02466,0.13251,0.00782,0.00336,nan,nan,nan,0.00194932,0.00194932,0.00194932
4,154.058,1.80652,2.03764,1.66404,0.12058,0.19048,0.09052,0.04247,2.0808,24.8229,2.01935,0.0019406,0.0019406,0.0019406
5,191.608,1.78255,1.94421,1.62314,0.17373,0.2236,0.11677,0.06242,1.80814,9.7413,1.67606,0.0019208,0.0019208,0.0019208
6,229.997,1.74454,1.92412,1.62518,0.48531,0.28571,0.26258,0.1363,1.76274,3.19614,1.57363,0.001901,0.001901,0.001901
7,266.802,1.6884,1.83559,1.53798,0.38066,0.29814,0.2481,0.12609,1.82116,2.52636,1.58221,0.0018812,0.0018812,0.0018812
8,304.298,1.66398,1.81791,1.5398,0.32456,0.28364,0.18593,0.08641,1.84171,3.15672,1.61223,0.0018614,0.0018614,0.0018614
9,342.684,1.65085,1.80887,1.51321,0.44411,0.30642,0.29204,0.1458,1.8678,2.33331,1.59478,0.0018416,0.0018416,0.0018416
10,381.345,1.60619,1.77554,1.50408,0.41821,0.31701,0.2741,0.14476,1.71318,2.38351,1.49431,0.0018218,0.0018218,0.0018218
11,420.524,1.60234,1.75586,1.5034,0.46723,0.28364,0.29357,0.14778,1.77674,3.96315,1.48539,0.001802,0.001802,0.001802
12,457.921,1.57368,1.67064,1.47815,0.55935,0.3354,0.35112,0.1932,1.65464,1.68413,1.4854,0.0017822,0.0017822,0.0017822
13,497.129,1.57583,1.68832,1.48937,0.4947,0.32712,0.32258,0.16273,1.80018,2.37801,1.5054,0.0017624,0.0017624,0.0017624
14,534.682,1.58261,1.68313,1.47369,0.56276,0.33333,0.34496,0.19759,1.59677,1.95747,1.42368,0.0017426,0.0017426,0.0017426
15,573.317,1.56479,1.64948,1.4725,0.60518,0.33747,0.36578,0.20101,1.66074,1.67591,1.49026,0.0017228,0.0017228,0.0017228
16,610.069,1.53359,1.60578,1.44881,0.54769,0.33333,0.34874,0.19452,1.6485,1.69702,1.40166,0.001703,0.001703,0.001703
17,648.969,1.52773,1.59868,1.441,0.57601,0.35611,0.36868,0.21349,1.57793,1.78176,1.40304,0.0016832,0.0016832,0.0016832
18,686.997,1.49474,1.52822,1.42647,0.60082,0.36439,0.39173,0.23042,1.54878,1.71406,1.3689,0.0016634,0.0016634,0.0016634
