epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8286,3.24571,7.21627,2.6557,0.00274,0.25673,0.04957,0.02522,3.77688,8.75677,2.68021,0.000654762,0.000654762,0.000654762
2,71.825,3.449,5.99111,2.79373,0.29172,0.14493,0.11573,0.05689,3.81475,8.12246,3.28437,0.00130835,0.00130835,0.00130835
3,107.148,3.6265,5.30435,2.8617,0.31251,0.2029,0.17304,0.07768,3.96526,10.6072,3.16539,0.00194873,0.00194873,0.00194873
4,141.806,3.73005,4.99187,2.92957,0.20573,0.20497,0.11931,0.05386,3.98636,18.1625,3.29679,0.0019406,0.0019406,0.0019406
5,175.984,3.72247,4.59328,2.85401,0.26308,0.24638,0.1976,0.09299,3.89244,9.64573,3.12031,0.0019208,0.0019208,0.0019208
6,211.373,3.64482,4.44738,2.82988,0.34532,0.26915,0.21112,0.11654,3.75885,5.54081,2.87253,0.001901,0.001901,0.001901
7,246.469,3.58127,4.32786,2.84761,0.37073,0.26501,0.2124,0.11523,3.60637,4.81083,2.75792,0.0018812,0.0018812,0.0018812
8,281.875,3.52036,4.20022,2.78036,0.41382,0.26501,0.24876,0.14015,3.74938,4.70641,2.8311,0.0018614,0.0018614,0.0018614
9,317.849,3.47946,4.10218,2.74676,0.36111,0.32091,0.25819,0.13608,3.76207,4.84101,2.86554,0.0018416,0.0018416,0.0018416
10,352.058,3.45388,4.08311,2.7781,0.38328,0.2588,0.23167,0.12665,3.55551,4.80451,2.70334,0.0018218,0.0018218,0.0018218
11,388.757,3.45149,4.03651,2.75182,0.40523,0.26501,0.24637,0.13406,3.4967,4.40394,2.70254,0.001802,0.001802,0.001802
12,424.987,3.40746,3.88618,2.74745,0.41133,0.31884,0.28749,0.16673,3.59333,4.0303,2.65238,0.0017822,0.0017822,0.0017822
13,460.076,3.3817,3.84166,2.71043,0.5961,0.26087,0.29764,0.16413,3.5622,4.26676,2.73388,0.0017624,0.0017624,0.0017624
14,496.368,3.35685,3.80444,2.67819,0.46231,0.32091,0.31068,0.15244,3.72544,4.05696,2.75936,0.0017426,0.0017426,0.0017426
15,531.003,3.31936,3.78694,2.68987,0.49441,0.32394,0.31044,0.16464,3.62052,3.83878,2.69514,0.0017228,0.0017228,0.0017228
