epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6933,1.49738,2.34203,1.50318,0.09554,0.38302,0.05533,0.02455,1.78787,15.4982,1.72914,0.000653333,0.000653333,0.000653333
2,78.6375,1.59895,1.7589,1.53949,0.00866,0.30642,0.00564,0.00226,2.38802,inf,5.44964,0.00130693,0.00130693,0.00130693
3,116.067,1.68571,1.89117,1.61705,0.09583,0.24638,0.03999,0.01964,1.94946,10.8346,2.14892,0.00194733,0.00194733,0.00194733
4,153.247,1.67409,1.84576,1.62419,0.27526,0.26501,0.1771,0.08542,1.83753,2.75393,1.90033,0.0019406,0.0019406,0.0019406
5,191.708,1.686,1.87549,1.61875,0.38381,0.28571,0.24567,0.13594,1.73474,5.19326,1.787,0.0019208,0.0019208,0.0019208
6,229.915,1.66021,1.82195,1.62752,0.2506,0.21048,0.12537,0.06139,2.05389,4.73819,1.96728,0.001901,0.001901,0.001901
7,267.633,1.64735,1.76189,1.60808,0.45244,0.28364,0.26845,0.12748,1.87031,3.0422,1.75764,0.0018812,0.0018812,0.0018812
8,305.393,1.61564,1.71386,1.58785,0.45112,0.30228,0.26556,0.1306,1.83243,2.94011,1.66824,0.0018614,0.0018614,0.0018614
9,343.467,1.58997,1.68344,1.54179,0.42988,0.30435,0.27116,0.14176,1.70686,2.2613,1.59186,0.0018416,0.0018416,0.0018416
10,380.883,1.58618,1.67978,1.53712,0.48762,0.28964,0.2822,0.16541,1.62019,2.07066,1.54087,0.0018218,0.0018218,0.0018218
11,417.724,1.5557,1.6368,1.55328,0.61779,0.28986,0.32328,0.16056,1.85275,2.03376,1.69541,0.001802,0.001802,0.001802
12,455.346,1.52597,1.57529,1.51758,0.5253,0.30014,0.32109,0.19311,1.55144,1.89832,1.50788,0.0017822,0.0017822,0.0017822
13,492.976,1.51114,1.55594,1.49892,0.56651,0.3499,0.36102,0.2001,1.66377,1.69496,1.53803,0.0017624,0.0017624,0.0017624
14,531.206,1.51844,1.52651,1.50652,0.50785,0.32712,0.3102,0.17394,1.67973,2.4696,1.57067,0.0017426,0.0017426,0.0017426
15,568.805,1.47624,1.50954,1.47331,0.55398,0.34717,0.34666,0.18524,1.68264,1.77503,1.56335,0.0017228,0.0017228,0.0017228
16,607.622,1.4981,1.48898,1.50496,0.52916,0.35404,0.36653,0.19698,1.644,1.63345,1.53377,0.001703,0.001703,0.001703
17,645.529,1.49931,1.48516,1.48049,0.56389,0.33747,0.35863,0.19914,1.57902,1.89623,1.46408,0.0016832,0.0016832,0.0016832
18,682.635,1.4792,1.46856,1.44955,0.50819,0.3913,0.38981,0.21238,1.6368,1.59799,1.48393,0.0016634,0.0016634,0.0016634
19,722.337,1.46754,1.45157,1.45955,0.62731,0.34369,0.37661,0.20315,1.75074,1.64105,1.58109,0.0016436,0.0016436,0.0016436
20,760,1.44664,1.43016,1.45312,0.57758,0.36646,0.41335,0.24368,1.47169,1.46779,1.38064,0.0016238,0.0016238,0.0016238
21,796.625,1.40879,1.3479,1.43028,0.55283,0.37474,0.38253,0.20132,1.71265,1.68505,1.57086,0.001604,0.001604,0.001604
22,835.003,1.44725,1.3744,1.42783,0.54527,0.33747,0.36277,0.20777,1.65709,2.01703,1.56005,0.0015842,0.0015842,0.0015842
23,871.919,1.41579,1.36477,1.42841,0.60068,0.34161,0.38052,0.22113,1.53163,1.85865,1.44176,0.0015644,0.0015644,0.0015644
24,909.277,1.43033,1.38122,1.43585,0.51026,0.37681,0.38131,0.21508,1.60751,1.57193,1.47909,0.0015446,0.0015446,0.0015446
25,946.625,1.38999,1.33478,1.42404,0.64336,0.38095,0.41065,0.23749,1.53475,1.47988,1.42571,0.0015248,0.0015248,0.0015248
26,983.973,1.41073,1.38477,1.42923,0.69978,0.37159,0.4232,0.23778,1.58065,1.44606,1.46503,0.001505,0.001505,0.001505
27,1021.39,1.39902,1.35766,1.43666,0.65251,0.37322,0.4236,0.25435,1.49157,1.40847,1.40473,0.0014852,0.0014852,0.0014852
28,1058.11,1.40852,1.34257,1.42224,0.51304,0.39545,0.39621,0.2325,1.57402,1.42704,1.46387,0.0014654,0.0014654,0.0014654
29,1095.63,1.38444,1.30805,1.41794,0.63844,0.33634,0.39922,0.23278,1.51416,1.43552,1.41982,0.0014456,0.0014456,0.0014456
30,1132.86,1.39798,1.26547,1.4026,0.59058,0.39545,0.4216,0.23663,1.48081,1.45444,1.39896,0.0014258,0.0014258,0.0014258
31,1170.6,1.39999,1.30638,1.41512,0.67326,0.38396,0.42604,0.24539,1.50413,1.46495,1.40928,0.001406,0.001406,0.001406
32,1207.43,1.35054,1.249,1.37763,0.62844,0.36853,0.40525,0.20646,1.79171,1.77244,1.59243,0.0013862,0.0013862,0.0013862
33,1244.09,1.38893,1.28728,1.39439,0.58148,0.41408,0.4219,0.24885,1.51942,1.41677,1.43584,0.0013664,0.0013664,0.0013664
34,1281.79,1.33155,1.22992,1.39236,0.59915,0.40166,0.44378,0.25298,1.51378,1.35971,1.41138,0.0013466,0.0013466,0.0013466
35,1319.77,1.3855,1.24497,1.39411,0.58413,0.41201,0.42766,0.26125,1.4286,1.35367,1.38104,0.0013268,0.0013268,0.0013268
36,1357.94,1.36612,1.25218,1.39804,0.6774,0.38509,0.44833,0.24873,1.63109,1.36891,1.49054,0.001307,0.001307,0.001307
37,1394.76,1.28934,1.20864,1.35973,0.6185,0.39272,0.43505,0.24893,1.58091,1.48843,1.46631,0.0012872,0.0012872,0.0012872
38,1432.96,1.30957,1.1931,1.34402,0.67805,0.36232,0.4257,0.2413,1.54042,1.46107,1.40296,0.0012674,0.0012674,0.0012674
39,1469.96,1.3354,1.19101,1.3676,0.57699,0.40102,0.42864,0.25459,1.52658,1.38399,1.43253,0.0012476,0.0012476,0.0012476
40,1506.68,1.30055,1.15793,1.35345,0.66299,0.40323,0.46137,0.25768,1.53368,1.39726,1.41471,0.0012278,0.0012278,0.0012278
41,1543.03,1.33096,1.17282,1.36558,0.68571,0.39299,0.45247,0.25348,1.58965,1.40304,1.45343,0.001208,0.001208,0.001208
42,1580.15,1.32862,1.18962,1.36737,0.70391,0.37888,0.45065,0.25139,1.57759,1.42442,1.45028,0.0011882,0.0011882,0.0011882
43,1617.14,1.32576,1.18933,1.36567,0.65571,0.37267,0.42812,0.24218,1.55604,1.51085,1.43223,0.0011684,0.0011684,0.0011684
44,1654.08,1.31939,1.16984,1.37327,0.57014,0.43271,0.44606,0.28182,1.34228,1.30479,1.32015,0.0011486,0.0011486,0.0011486
45,1691.94,1.30924,1.13088,1.3504,0.61073,0.40994,0.44079,0.25334,1.57759,1.31158,1.43788,0.0011288,0.0011288,0.0011288
46,1729.23,1.29443,1.15248,1.3641,0.75086,0.37888,0.45448,0.2679,1.47087,1.31223,1.412,0.001109,0.001109,0.001109
47,1766.87,1.32402,1.16734,1.3557,0.64107,0.40373,0.45427,0.24899,1.61238,1.35363,1.45512,0.0010892,0.0010892,0.0010892
48,1803.51,1.31039,1.11545,1.36051,0.6052,0.45342,0.48077,0.27585,1.48072,1.27242,1.40577,0.0010694,0.0010694,0.0010694
49,1841.9,1.29743,1.12448,1.34529,0.62457,0.3913,0.4491,0.25871,1.54219,1.39456,1.43172,0.0010496,0.0010496,0.0010496
50,1880.32,1.27431,1.10727,1.33496,0.64768,0.43008,0.475,0.26845,1.5296,1.26125,1.42541,0.0010298,0.0010298,0.0010298
51,1918.58,1.28792,1.08251,1.33611,0.55874,0.43892,0.44477,0.26487,1.46371,1.35551,1.40812,0.00101,0.00101,0.00101
52,1956.81,1.31354,1.13509,1.35618,0.72342,0.39337,0.47028,0.27991,1.46602,1.27096,1.39307,0.0009902,0.0009902,0.0009902
53,1994.23,1.26116,1.08154,1.33123,0.62991,0.42857,0.46754,0.2836,1.4322,1.25516,1.37136,0.0009704,0.0009704,0.0009704
54,2031.63,1.28678,1.10268,1.34485,0.69698,0.3913,0.45894,0.2691,1.45754,1.29349,1.38054,0.0009506,0.0009506,0.0009506
55,2069.52,1.28252,1.06794,1.33338,0.59964,0.42857,0.46153,0.25445,1.53768,1.42526,1.41175,0.0009308,0.0009308,0.0009308
