epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7817,1.51671,2.86454,1.4072,0.00565,0.53002,0.09174,0.04556,1.48229,3.29765,1.22202,0.00044,0.00044,0.00044
2,79.0959,1.49582,2.04157,1.39729,0.02521,0.04348,0.01582,0.006,1.80696,3.38304,1.53656,0.00089109,0.00089109,0.00089109
3,109.909,1.56208,1.99271,1.44068,0.00329,0.02899,0.00121,0.00057,2.01633,inf,3.00564,0.00133307,0.00133307,0.00133307
4,138.963,1.62902,1.92558,1.48605,0.01587,0.22981,0.00868,0.00429,1.84941,22.5573,2.05705,0.00176595,0.00176595,0.00176595
5,170.683,1.66479,1.90243,1.53604,0.12327,0.15528,0.05446,0.02614,1.91965,12.2574,1.94513,0.0019208,0.0019208,0.0019208
6,199.754,1.66829,1.84395,1.5418,0.02146,0.24224,0.01156,0.00519,1.98581,29.0012,2.01654,0.001901,0.001901,0.001901
7,233.358,1.5908,1.73562,1.48437,0.21364,0.23602,0.12807,0.06128,1.82709,12.6579,1.91577,0.0018812,0.0018812,0.0018812
8,264.961,1.61371,1.69338,1.50789,0.30672,0.24638,0.18735,0.08885,1.8901,3.94252,1.78669,0.0018614,0.0018614,0.0018614
9,294.816,1.58343,1.67831,1.48152,0.20913,0.22981,0.13223,0.0608,1.80207,2.91118,1.68931,0.0018416,0.0018416,0.0018416
10,324.866,1.56627,1.65052,1.46727,0.45941,0.32298,0.2989,0.16812,1.68436,2.24165,1.51783,0.0018218,0.0018218,0.0018218
11,353.819,1.54347,1.62182,1.45477,0.21041,0.16977,0.11309,0.05784,1.80551,4.47886,1.66192,0.001802,0.001802,0.001802
12,383.907,1.60249,1.61411,1.47575,0.48558,0.34369,0.31051,0.1449,1.8275,2.60289,1.61112,0.0017822,0.0017822,0.0017822
13,414.975,1.54616,1.6004,1.46152,0.62139,0.30435,0.31098,0.16992,1.68723,2.11976,1.53762,0.0017624,0.0017624,0.0017624
14,445.131,1.50998,1.52884,1.42443,0.40441,0.33333,0.27517,0.15409,1.67347,2.72811,1.56045,0.0017426,0.0017426,0.0017426
15,475.557,1.52109,1.5109,1.42054,0.52173,0.31677,0.3169,0.17499,1.59822,2.09438,1.44477,0.0017228,0.0017228,0.0017228
16,506.17,1.49463,1.55745,1.41323,0.5531,0.32298,0.31249,0.16643,1.63471,2.16943,1.45701,0.001703,0.001703,0.001703
17,535.844,1.46457,1.49668,1.38948,0.57696,0.33747,0.36844,0.20081,1.61839,1.85012,1.40848,0.0016832,0.0016832,0.0016832
18,564.143,1.47238,1.44313,1.4322,0.55182,0.33747,0.35507,0.19068,1.65422,1.99039,1.47887,0.0016634,0.0016634,0.0016634
19,594.022,1.47766,1.46652,1.42343,0.54609,0.30228,0.31521,0.17222,1.68061,1.9896,1.47684,0.0016436,0.0016436,0.0016436
20,623.422,1.44902,1.43155,1.39658,0.54996,0.36181,0.36065,0.19388,1.68694,1.61948,1.49781,0.0016238,0.0016238,0.0016238
21,652.882,1.44598,1.45626,1.37273,0.54153,0.37681,0.3655,0.2125,1.55261,2.22502,1.41543,0.001604,0.001604,0.001604
22,681.418,1.45866,1.39893,1.40561,0.48361,0.34576,0.33047,0.18406,1.6063,1.69152,1.43794,0.0015842,0.0015842,0.0015842
23,711.862,1.42983,1.4009,1.37008,0.68964,0.30021,0.34391,0.18591,1.70211,1.79527,1.5291,0.0015644,0.0015644,0.0015644
24,741.891,1.45678,1.4231,1.40939,0.56729,0.34576,0.35244,0.18801,1.64414,1.67269,1.48383,0.0015446,0.0015446,0.0015446
25,770.687,1.43621,1.37739,1.41868,0.58471,0.38302,0.39443,0.20754,1.70004,1.60439,1.51525,0.0015248,0.0015248,0.0015248
26,801.607,1.43098,1.3659,1.38689,0.50943,0.36232,0.34673,0.2053,1.52818,1.86742,1.42279,0.001505,0.001505,0.001505
27,830.939,1.43291,1.35083,1.39342,0.58007,0.38302,0.40706,0.2363,1.56914,1.50889,1.45327,0.0014852,0.0014852,0.0014852
28,860.511,1.4309,1.33009,1.39767,0.48976,0.40143,0.38198,0.19924,1.77179,1.85964,1.57993,0.0014654,0.0014654,0.0014654
29,889.548,1.42593,1.35351,1.37177,0.56182,0.37888,0.39208,0.22352,1.60803,1.75632,1.46587,0.0014456,0.0014456,0.0014456
30,918.866,1.42943,1.38076,1.37604,0.62376,0.33954,0.3916,0.22381,1.58084,1.54415,1.42244,0.0014258,0.0014258,0.0014258
31,950.085,1.38606,1.33173,1.3512,0.60136,0.39353,0.41909,0.22837,1.58797,1.50261,1.4085,0.001406,0.001406,0.001406
32,979.989,1.38921,1.28654,1.35827,0.49466,0.35404,0.34918,0.21168,1.50205,1.78346,1.35464,0.0013862,0.0013862,0.0013862
33,1008.67,1.39955,1.31571,1.35351,0.62231,0.35818,0.4086,0.23236,1.54039,1.49714,1.38544,0.0013664,0.0013664,0.0013664
34,1040.14,1.3588,1.27007,1.34561,0.63281,0.36025,0.40903,0.25082,1.44503,1.47299,1.38126,0.0013466,0.0013466,0.0013466
35,1067.73,1.36028,1.25342,1.34299,0.61495,0.39337,0.41249,0.25589,1.39735,1.48163,1.33974,0.0013268,0.0013268,0.0013268
36,1098.25,1.39569,1.24795,1.35693,0.55368,0.40373,0.40922,0.24686,1.44627,1.51678,1.35627,0.001307,0.001307,0.001307
37,1129.34,1.38222,1.27158,1.34962,0.65635,0.36439,0.41758,0.23298,1.58527,1.46773,1.43864,0.0012872,0.0012872,0.0012872
38,1159.74,1.35446,1.22848,1.34544,0.59271,0.37964,0.40152,0.22802,1.56941,1.68078,1.42473,0.0012674,0.0012674,0.0012674
39,1188.9,1.37472,1.24838,1.34998,0.68317,0.40373,0.44133,0.24021,1.58344,1.4531,1.39789,0.0012476,0.0012476,0.0012476
40,1219.21,1.36195,1.25235,1.32276,0.60166,0.36232,0.40778,0.22945,1.59725,1.56439,1.42832,0.0012278,0.0012278,0.0012278
41,1249.09,1.36962,1.21062,1.32832,0.61931,0.37888,0.40958,0.23781,1.54404,1.50179,1.41674,0.001208,0.001208,0.001208
42,1278.74,1.35655,1.20379,1.32794,0.61538,0.37474,0.42239,0.23698,1.60765,1.45928,1.43904,0.0011882,0.0011882,0.0011882
43,1308.53,1.35746,1.2534,1.33616,0.53034,0.37681,0.4049,0.22913,1.57342,1.46296,1.41538,0.0011684,0.0011684,0.0011684
44,1337.79,1.36011,1.21212,1.32338,0.59391,0.39337,0.39674,0.23297,1.51465,1.46386,1.39272,0.0011486,0.0011486,0.0011486
45,1371.42,1.34224,1.18719,1.32708,0.6008,0.3913,0.42269,0.23953,1.53902,1.63677,1.42389,0.0011288,0.0011288,0.0011288
46,1401.33,1.34767,1.20514,1.3184,0.62186,0.37681,0.42654,0.25381,1.45035,1.431,1.33981,0.001109,0.001109,0.001109
47,1434.05,1.35512,1.17518,1.33206,0.63325,0.3913,0.43522,0.24935,1.53586,1.44874,1.40561,0.0010892,0.0010892,0.0010892
48,1465.35,1.29826,1.15175,1.30182,0.67497,0.37406,0.42641,0.25119,1.51145,1.42069,1.39102,0.0010694,0.0010694,0.0010694
49,1495.81,1.31346,1.13876,1.31481,0.64162,0.39661,0.46512,0.25781,1.57453,1.3233,1.39767,0.0010496,0.0010496,0.0010496
50,1526.15,1.32377,1.15463,1.31758,0.58042,0.39959,0.43286,0.22905,1.63934,1.46814,1.4465,0.0010298,0.0010298,0.0010298
51,1556.29,1.3154,1.12701,1.31489,0.58972,0.42258,0.43538,0.26319,1.45943,1.37328,1.37131,0.00101,0.00101,0.00101
52,1588.18,1.3283,1.14001,1.32346,0.6323,0.38509,0.44735,0.2452,1.611,1.42002,1.43303,0.0009902,0.0009902,0.0009902
53,1616.88,1.32763,1.14108,1.31447,0.60037,0.41201,0.4427,0.26366,1.47987,1.36943,1.35713,0.0009704,0.0009704,0.0009704
54,1647.13,1.30574,1.11852,1.30829,0.63552,0.39337,0.43957,0.2618,1.42404,1.42675,1.31748,0.0009506,0.0009506,0.0009506
55,1679.18,1.29937,1.12459,1.28819,0.61437,0.40787,0.4411,0.26204,1.52893,1.39044,1.36758,0.0009308,0.0009308,0.0009308
56,1706.61,1.28348,1.11113,1.29117,0.70185,0.36853,0.43638,0.25692,1.4305,1.40237,1.32332,0.000911,0.000911,0.000911
57,1737.21,1.3079,1.09993,1.30172,0.72021,0.3706,0.4433,0.24976,1.62681,1.41822,1.45561,0.0008912,0.0008912,0.0008912
58,1767.37,1.3134,1.11396,1.31459,0.6023,0.40449,0.44334,0.24594,1.606,1.42821,1.41332,0.0008714,0.0008714,0.0008714
59,1795.25,1.28539,1.07552,1.27721,0.57629,0.37474,0.415,0.24996,1.40717,1.48536,1.33821,0.0008516,0.0008516,0.0008516
60,1825.09,1.29556,1.07354,1.29912,0.6463,0.42236,0.47178,0.27546,1.49035,1.31301,1.34438,0.0008318,0.0008318,0.0008318
61,1853.23,1.27826,1.07623,1.28303,0.75833,0.3768,0.45126,0.2566,1.53126,1.35942,1.38614,0.000812,0.000812,0.000812
62,1883.72,1.26452,1.04927,1.27631,0.6557,0.39337,0.44817,0.26352,1.51573,1.37531,1.37127,0.0007922,0.0007922,0.0007922
63,1911.92,1.30519,1.11921,1.29758,0.69288,0.39236,0.45046,0.25512,1.53785,1.39113,1.3769,0.0007724,0.0007724,0.0007724
64,1942.37,1.26022,1.02971,1.26776,0.64526,0.38414,0.44989,0.27487,1.45504,1.35497,1.35002,0.0007526,0.0007526,0.0007526
65,1971.72,1.29254,1.06659,1.27594,0.67516,0.3706,0.43847,0.24638,1.57443,1.3858,1.38975,0.0007328,0.0007328,0.0007328
66,2003.64,1.28418,1.04701,1.27742,0.71569,0.39959,0.46895,0.26429,1.56796,1.3652,1.40343,0.000713,0.000713,0.000713
67,2032.13,1.26684,1.04792,1.28755,0.71699,0.40373,0.47335,0.27493,1.5226,1.31867,1.37886,0.0006932,0.0006932,0.0006932
68,2061.91,1.25347,1.01498,1.27337,0.6857,0.43064,0.47995,0.29018,1.44084,1.28411,1.33644,0.0006734,0.0006734,0.0006734
69,2094.86,1.26698,1.02824,1.27971,0.68557,0.34307,0.40264,0.2194,1.59402,1.55438,1.41006,0.0006536,0.0006536,0.0006536
70,2123.92,1.26216,1.01692,1.25719,0.63698,0.43064,0.466,0.27286,1.47428,1.34722,1.35417,0.0006338,0.0006338,0.0006338
71,2153.97,1.24808,1.03328,1.26544,0.68327,0.40373,0.46145,0.25887,1.57049,1.36257,1.40058,0.000614,0.000614,0.000614
72,2182.62,1.26244,1.00476,1.28727,0.63096,0.44603,0.48278,0.28156,1.499,1.28467,1.35862,0.0005942,0.0005942,0.0005942
73,2213.34,1.23473,0.99788,1.26093,0.64445,0.43906,0.4746,0.28046,1.46482,1.3007,1.3309,0.0005744,0.0005744,0.0005744
74,2242.53,1.24155,0.98134,1.25446,0.65352,0.44128,0.48078,0.28098,1.51264,1.28802,1.36636,0.0005546,0.0005546,0.0005546
75,2273.67,1.24027,1.00224,1.26878,0.60874,0.41201,0.45177,0.26979,1.50646,1.39154,1.36179,0.0005348,0.0005348,0.0005348
76,2304.18,1.23309,0.98879,1.25398,0.68369,0.39959,0.46289,0.27566,1.4679,1.29734,1.35331,0.000515,0.000515,0.000515
77,2334.61,1.23578,0.99594,1.2576,0.67897,0.41599,0.4829,0.29366,1.43618,1.27969,1.33579,0.0004952,0.0004952,0.0004952
78,2364.8,1.21593,0.97339,1.24918,0.61405,0.42443,0.46869,0.29647,1.3816,1.27545,1.31213,0.0004754,0.0004754,0.0004754
