Method,Dataset,Default mAP50,Default mAP50-95,Tuned mAP50,Tuned mAP50-95,mAP50 Improvement,mAP50-95 Improvement,Size (MB),Parameters (M),Best Confidence,FPS,Efficiency (mAP50/MB),Training Time (h:m),Part
yolov5n6u,TACO,0.594,0.367,0.648,0.451,5.3,8.4,8.7,4.3,0.5,57.6,0.0748,1h 38m,1
yolov5s6u,TACO,0.595,0.366,0.642,0.434,4.7,6.8,29.6,15.3,0.4,43.8,0.0217,2h 19m,1
yolov8s,TACO,0.55,0.381,0.639,0.501,8.9,12.0,21.5,11.2,0.5,104.1,0.0297,0h 55m,1
yolov5s,TACO,0.549,0.362,0.634,0.485,8.5,12.3,17.7,9.2,0.6,114.2,0.0358,0h 54m,1
yolo11s,TACO,0.485,0.294,0.607,0.434,12.3,13.9,18.4,9.5,0.6,97.1,0.033,0h 59m,2
yolov8n,TACO,0.51,0.337,0.607,0.467,9.6,12.9,6.2,3.2,0.5,99.9,0.0971,0h 50m,1
yolov9s,TACO,0.486,0.312,0.606,0.445,12.1,13.4,14.7,7.3,0.5,90.4,0.0413,1h 3m,2
yolov5n,TACO,0.507,0.331,0.605,0.465,9.8,13.4,5.3,2.7,0.6,120.9,0.1141,0h 47m,1
yolo12s,TACO,0.492,0.347,0.601,0.49,10.9,14.4,18.1,9.3,0.5,72.1,0.0332,1h 3m,2
yolov9t,TACO,0.469,0.315,0.597,0.466,12.8,15.1,4.7,2.1,0.5,112.2,0.1259,0h 51m,2
yolo11n,TACO,0.459,0.308,0.595,0.47,13.6,16.2,5.4,2.6,0.5,105.9,0.1112,0h 50m,2
yolov10s,TACO,0.471,0.323,0.585,0.48,11.4,15.7,15.9,8.1,0.7,121.1,0.0369,1h 2m,2
yolo12n,TACO,0.459,0.312,0.585,0.484,12.6,17.2,5.3,2.6,0.7,96.9,0.1096,0h 58m,2
yolov10n,TACO,0.445,0.302,0.583,0.477,13.7,17.5,5.6,2.8,0.6,147.6,0.1043,1h 0m,2
