epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1697,1.56978,3.38015,1.4202,0.15274,0.13665,0.06627,0.03077,2.22051,6.71976,1.80648,0.000650407,0.000650407,0.000650407
2,75.735,1.64484,1.89854,1.48622,0.01161,0.30228,0.00717,0.00315,2.12365,inf,3.36303,0.00130403,0.00130403,0.00130403
3,113.671,1.72269,1.99082,1.49754,0.00893,0.13251,0.00487,0.00164,2.65778,69.0217,3.14978,0.00194446,0.00194446,0.00194446
4,148.14,1.77389,1.98012,1.53403,0.09606,0.2381,0.0586,0.02536,2.03411,31.7396,2.15104,0.0019406,0.0019406,0.0019406
5,184.801,1.75186,1.97267,1.50681,0.12075,0.09317,0.03012,0.01491,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,220.459,1.6987,1.88427,1.49868,0.13748,0.19462,0.07193,0.03317,1.99004,9.34256,1.75247,0.001901,0.001901,0.001901
7,256.958,1.68844,1.82398,1.46173,0.24063,0.23356,0.14245,0.06994,1.79811,7.8117,1.49869,0.0018812,0.0018812,0.0018812
8,292.943,1.65221,1.77846,1.43352,0.39113,0.24224,0.22378,0.10771,1.98915,3.69308,1.65363,0.0018614,0.0018614,0.0018614
9,327.155,1.61999,1.72559,1.3967,0.38885,0.24638,0.22059,0.11624,1.7926,2.27875,1.51182,0.0018416,0.0018416,0.0018416
10,362.295,1.61366,1.68502,1.42253,0.52968,0.31677,0.33837,0.19788,1.62946,1.79567,1.41668,0.0018218,0.0018218,0.0018218
11,397.193,1.59116,1.67629,1.40569,0.43679,0.32091,0.29527,0.16503,1.72057,2.23243,1.39299,0.001802,0.001802,0.001802
12,433.469,1.56337,1.64267,1.38475,0.52447,0.32712,0.3302,0.18815,1.61844,2.38947,1.35461,0.0017822,0.0017822,0.0017822
13,469.551,1.56471,1.63583,1.37134,0.48806,0.34344,0.34085,0.18447,1.72379,1.78283,1.41334,0.0017624,0.0017624,0.0017624
14,505.914,1.51555,1.58302,1.36094,0.59376,0.31774,0.3484,0.19539,1.68253,1.87431,1.35751,0.0017426,0.0017426,0.0017426
15,539.379,1.5629,1.62459,1.38659,0.50145,0.38525,0.36796,0.21356,1.56049,1.75453,1.31789,0.0017228,0.0017228,0.0017228
16,575.875,1.53723,1.5824,1.358,0.35544,0.31884,0.2665,0.14195,1.7205,2.07464,1.49618,0.001703,0.001703,0.001703
17,611.287,1.47324,1.5258,1.33488,0.48849,0.33747,0.34899,0.19742,1.58674,1.92477,1.31505,0.0016832,0.0016832,0.0016832
18,647.056,1.49337,1.52842,1.34953,0.54197,0.37728,0.38557,0.2198,1.58844,1.66629,1.33876,0.0016634,0.0016634,0.0016634
19,682.251,1.50706,1.48501,1.33971,0.55588,0.37267,0.3576,0.18452,1.81117,1.79226,1.44683,0.0016436,0.0016436,0.0016436
20,719.637,1.48427,1.50633,1.34026,0.5502,0.34783,0.37443,0.20272,1.66064,1.74418,1.36626,0.0016238,0.0016238,0.0016238
21,753.974,1.44315,1.45361,1.31699,0.6504,0.33895,0.38778,0.21657,1.65015,1.73671,1.335,0.001604,0.001604,0.001604
22,789.358,1.45779,1.45587,1.30384,0.55557,0.3706,0.38769,0.20889,1.73105,1.63505,1.3421,0.0015842,0.0015842,0.0015842
23,824.695,1.46579,1.46748,1.29966,0.65815,0.36853,0.40233,0.21335,1.75151,1.65052,1.37267,0.0015644,0.0015644,0.0015644
24,861.596,1.4582,1.45398,1.31559,0.5886,0.40787,0.424,0.24771,1.55826,1.58384,1.29363,0.0015446,0.0015446,0.0015446
25,894.812,1.42833,1.42375,1.30468,0.64388,0.38095,0.40196,0.23159,1.56636,1.57471,1.29546,0.0015248,0.0015248,0.0015248
26,929.646,1.43982,1.40838,1.29769,0.52145,0.37267,0.3767,0.21077,1.59066,1.65444,1.32287,0.001505,0.001505,0.001505
27,963.659,1.46024,1.43462,1.32123,0.64668,0.38509,0.42647,0.25657,1.46763,1.47233,1.26145,0.0014852,0.0014852,0.0014852
28,997.545,1.4295,1.41471,1.30756,0.67382,0.36232,0.41944,0.25013,1.44057,1.50361,1.25007,0.0014654,0.0014654,0.0014654
29,1031.04,1.42,1.41981,1.30555,0.65569,0.34783,0.40136,0.24436,1.52262,1.68369,1.27938,0.0014456,0.0014456,0.0014456
30,1067.07,1.39719,1.38492,1.27961,0.62798,0.38302,0.4206,0.24733,1.50197,1.51443,1.26183,0.0014258,0.0014258,0.0014258
31,1101.71,1.44184,1.41231,1.3068,0.68066,0.38302,0.42809,0.24607,1.55283,1.4898,1.28954,0.001406,0.001406,0.001406
32,1136.48,1.40267,1.32798,1.27291,0.60651,0.36853,0.41894,0.24338,1.53898,1.62341,1.25817,0.0013862,0.0013862,0.0013862
33,1172.14,1.40263,1.3396,1.27797,0.59798,0.35416,0.39119,0.24123,1.48774,1.68037,1.26899,0.0013664,0.0013664,0.0013664
34,1208.27,1.38161,1.3179,1.27403,0.60812,0.38555,0.42295,0.24136,1.64307,1.53181,1.32857,0.0013466,0.0013466,0.0013466
35,1240.82,1.38378,1.31784,1.26148,0.66714,0.35611,0.43588,0.25746,1.5511,1.45598,1.27198,0.0013268,0.0013268,0.0013268
36,1276.1,1.37064,1.30965,1.25435,0.57985,0.38923,0.42178,0.25455,1.52232,1.52705,1.25718,0.001307,0.001307,0.001307
37,1311.42,1.38445,1.33702,1.24602,0.69777,0.36807,0.4394,0.25425,1.55788,1.4425,1.28431,0.0012872,0.0012872,0.0012872
38,1346.37,1.38348,1.32396,1.25113,0.64257,0.39337,0.43775,0.2485,1.57502,1.53995,1.28846,0.0012674,0.0012674,0.0012674
39,1380.4,1.3713,1.29508,1.25505,0.72315,0.37474,0.44415,0.2579,1.51612,1.394,1.25834,0.0012476,0.0012476,0.0012476
40,1416.82,1.36584,1.29635,1.26182,0.6618,0.37888,0.44776,0.25458,1.59098,1.48865,1.26827,0.0012278,0.0012278,0.0012278
41,1449.97,1.36032,1.28368,1.24329,0.66634,0.39693,0.45521,0.25351,1.59029,1.42409,1.28167,0.001208,0.001208,0.001208
42,1484.13,1.35782,1.25769,1.24074,0.65157,0.36646,0.41853,0.24084,1.5517,1.50137,1.27049,0.0011882,0.0011882,0.0011882
43,1518.4,1.36427,1.29805,1.24572,0.66824,0.36025,0.42666,0.25014,1.51631,1.51808,1.27086,0.0011684,0.0011684,0.0011684
44,1552.59,1.36316,1.29869,1.24807,0.57589,0.40994,0.44129,0.25612,1.49605,1.43106,1.25777,0.0011486,0.0011486,0.0011486
45,1586.71,1.3507,1.25197,1.23671,0.64506,0.36439,0.42051,0.23373,1.63805,1.51917,1.324,0.0011288,0.0011288,0.0011288
46,1619.77,1.34512,1.25598,1.23353,0.67476,0.38302,0.44041,0.25911,1.57336,1.48217,1.27435,0.001109,0.001109,0.001109
47,1654.25,1.33757,1.21831,1.23658,0.64081,0.37888,0.44074,0.25702,1.53114,1.48621,1.24869,0.0010892,0.0010892,0.0010892
48,1690.46,1.3366,1.25792,1.22507,0.64321,0.36646,0.42898,0.25276,1.5722,1.518,1.27316,0.0010694,0.0010694,0.0010694
49,1724.21,1.33864,1.2159,1.22404,0.56248,0.43685,0.45903,0.2796,1.44715,1.39374,1.20374,0.0010496,0.0010496,0.0010496
50,1760.08,1.33158,1.22944,1.24313,0.65611,0.41615,0.46035,0.27074,1.53212,1.4451,1.23796,0.0010298,0.0010298,0.0010298
51,1794.91,1.31607,1.20823,1.22042,0.68248,0.42029,0.4666,0.28106,1.49712,1.38808,1.25194,0.00101,0.00101,0.00101
52,1830.51,1.34895,1.2349,1.23381,0.5778,0.42443,0.44863,0.25678,1.54864,1.47537,1.26572,0.0009902,0.0009902,0.0009902
53,1862.99,1.31945,1.1962,1.21634,0.63413,0.41201,0.45257,0.27595,1.4428,1.41222,1.20223,0.0009704,0.0009704,0.0009704
54,1898.31,1.32045,1.18871,1.21656,0.62752,0.39763,0.4562,0.26582,1.51037,1.40145,1.24494,0.0009506,0.0009506,0.0009506
55,1932.9,1.3045,1.1943,1.2062,0.62028,0.40923,0.45578,0.27167,1.50097,1.37854,1.23712,0.0009308,0.0009308,0.0009308
56,1968.04,1.2876,1.17822,1.19872,0.55744,0.4329,0.45699,0.28149,1.44079,1.35451,1.20623,0.000911,0.000911,0.000911
57,2001.28,1.32016,1.1537,1.19461,0.6439,0.40166,0.45385,0.27777,1.49898,1.42702,1.24131,0.0008912,0.0008912,0.0008912
58,2037.72,1.30887,1.15945,1.21097,0.59852,0.38923,0.43349,0.2464,1.66521,1.44561,1.31499,0.0008714,0.0008714,0.0008714
59,2070.87,1.30566,1.16365,1.21647,0.66442,0.44099,0.47259,0.28533,1.49624,1.3278,1.24589,0.0008516,0.0008516,0.0008516
60,2107.53,1.30142,1.15038,1.19364,0.74113,0.41201,0.4736,0.27056,1.53409,1.37711,1.25649,0.0008318,0.0008318,0.0008318
61,2141.73,1.28325,1.13665,1.2039,0.62276,0.40994,0.46285,0.26594,1.57777,1.36604,1.26869,0.000812,0.000812,0.000812
62,2178.16,1.29024,1.12906,1.19863,0.65613,0.41201,0.47549,0.28918,1.39556,1.32559,1.17772,0.0007922,0.0007922,0.0007922
63,2212.41,1.27404,1.12937,1.19309,0.67415,0.39959,0.46435,0.27418,1.51028,1.38544,1.22947,0.0007724,0.0007724,0.0007724
64,2246.94,1.27553,1.10282,1.17468,0.65354,0.41615,0.47231,0.29468,1.45128,1.33897,1.20617,0.0007526,0.0007526,0.0007526
65,2279.8,1.24707,1.10674,1.17534,0.69491,0.41201,0.47605,0.28908,1.48203,1.36936,1.20827,0.0007328,0.0007328,0.0007328
66,2315.03,1.2782,1.13203,1.17259,0.60897,0.42884,0.4699,0.28872,1.46851,1.33233,1.201,0.000713,0.000713,0.000713
67,2350.12,1.26267,1.09035,1.18103,0.71352,0.39752,0.47131,0.28219,1.51523,1.34256,1.22358,0.0006932,0.0006932,0.0006932
68,2386.04,1.25069,1.06914,1.17938,0.63848,0.4265,0.47351,0.28323,1.48752,1.34636,1.23853,0.0006734,0.0006734,0.0006734
69,2419.16,1.26113,1.07801,1.18274,0.69066,0.40994,0.4835,0.28768,1.52781,1.34303,1.23736,0.0006536,0.0006536,0.0006536
70,2454.49,1.24943,1.05602,1.1593,0.61535,0.42236,0.46679,0.27614,1.54421,1.36116,1.22467,0.0006338,0.0006338,0.0006338
71,2487.96,1.25155,1.06526,1.16579,0.66398,0.43478,0.49089,0.29125,1.50303,1.31356,1.23194,0.000614,0.000614,0.000614
72,2522.85,1.23446,1.04264,1.16005,0.704,0.40373,0.47227,0.28816,1.46498,1.37119,1.20746,0.0005942,0.0005942,0.0005942
73,2558.48,1.25938,1.07407,1.17234,0.71289,0.40787,0.4819,0.26925,1.6186,1.35985,1.26511,0.0005744,0.0005744,0.0005744
74,2595.32,1.26665,1.06556,1.18258,0.70309,0.42236,0.49733,0.29649,1.48246,1.31998,1.22758,0.0005546,0.0005546,0.0005546
75,2629.02,1.24184,1.05858,1.17078,0.62451,0.43685,0.47937,0.28428,1.48345,1.38,1.21023,0.0005348,0.0005348,0.0005348
76,2664.87,1.24462,1.05446,1.18129,0.71573,0.40139,0.47791,0.28948,1.44013,1.32027,1.20183,0.000515,0.000515,0.000515
