epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7102,1.52471,2.63266,1.33979,0.00543,0.50932,0.07038,0.03377,1.64975,3.43141,1.41756,0.00064,0.00064,0.00064
2,73.9103,1.62701,2.13501,1.45161,0.21869,0.03106,0.0306,0.01453,1.84428,3.36548,1.51961,0.00128713,0.00128713,0.00128713
3,109.898,1.68238,2.02361,1.44479,0.0539,0.0352,0.0087,0.00333,2.31975,3.65717,2.20278,0.00192119,0.00192119,0.00192119
4,144.295,1.70582,2.00591,1.49169,0.02925,0.07246,0.01341,0.00548,2.07265,5.61962,2.07454,0.0019406,0.0019406,0.0019406
5,177.289,1.68363,1.92232,1.48557,0.36391,0.2588,0.19011,0.1057,1.71079,4.66284,1.65596,0.0019208,0.0019208,0.0019208
6,210.227,1.67165,1.85216,1.47178,0.45524,0.23531,0.21513,0.11154,1.84944,5.16073,1.65169,0.001901,0.001901,0.001901
7,243.959,1.64742,1.76649,1.46601,0.36602,0.24017,0.20734,0.11289,1.68733,3.75696,1.49577,0.0018812,0.0018812,0.0018812
8,276.588,1.61249,1.75464,1.42897,0.37032,0.29814,0.24727,0.12905,1.82108,2.55394,1.51524,0.0018614,0.0018614,0.0018614
9,312.423,1.56286,1.69739,1.39159,0.50677,0.26087,0.25071,0.1347,1.73432,2.66639,1.46025,0.0018416,0.0018416,0.0018416
10,347.654,1.59695,1.68062,1.42029,0.40961,0.27329,0.2422,0.13487,1.75453,2.32875,1.46271,0.0018218,0.0018218,0.0018218
11,382.052,1.59427,1.68834,1.4092,0.47958,0.3354,0.32822,0.18101,1.62114,2.36996,1.39556,0.001802,0.001802,0.001802
12,415.477,1.56486,1.63315,1.39909,0.46123,0.28005,0.27203,0.13151,1.8766,3.33044,1.51904,0.0017822,0.0017822,0.0017822
13,452.097,1.54709,1.60929,1.39255,0.49921,0.31784,0.30241,0.1655,1.7558,2.09269,1.52564,0.0017624,0.0017624,0.0017624
14,485.912,1.55557,1.61513,1.3993,0.59781,0.3147,0.32593,0.18354,1.58739,1.86559,1.3752,0.0017426,0.0017426,0.0017426
15,518.905,1.52866,1.56417,1.37879,0.57766,0.3147,0.35669,0.1926,1.66257,1.82843,1.41086,0.0017228,0.0017228,0.0017228
16,552.794,1.545,1.56749,1.38248,0.57622,0.33126,0.34194,0.18671,1.70941,1.78646,1.43588,0.001703,0.001703,0.001703
17,588.686,1.53413,1.58333,1.38056,0.52567,0.35795,0.36818,0.20209,1.60556,1.84397,1.3483,0.0016832,0.0016832,0.0016832
18,623.455,1.49486,1.52596,1.36913,0.60962,0.32505,0.36102,0.18444,1.77407,1.79395,1.44348,0.0016634,0.0016634,0.0016634
19,660.756,1.52284,1.5632,1.37368,0.57016,0.35197,0.3656,0.19754,1.67811,1.83975,1.37372,0.0016436,0.0016436,0.0016436
20,692.376,1.51621,1.53957,1.38865,0.5849,0.29814,0.34137,0.20298,1.55748,1.67049,1.32586,0.0016238,0.0016238,0.0016238
21,727.669,1.49204,1.4757,1.36804,0.62566,0.32919,0.36979,0.21718,1.55812,1.57402,1.31829,0.001604,0.001604,0.001604
22,761.554,1.46749,1.44131,1.337,0.61574,0.33747,0.36811,0.20978,1.59072,1.56475,1.3244,0.0015842,0.0015842,0.0015842
23,797.18,1.46647,1.44461,1.35633,0.51694,0.39752,0.3969,0.2391,1.54816,1.53859,1.32817,0.0015644,0.0015644,0.0015644
24,831.713,1.47861,1.44172,1.34493,0.52133,0.35818,0.3608,0.21898,1.54901,1.94097,1.35095,0.0015446,0.0015446,0.0015446
25,867.507,1.44841,1.4295,1.33337,0.64397,0.35576,0.38698,0.2119,1.61155,1.55835,1.33307,0.0015248,0.0015248,0.0015248
26,901.308,1.4785,1.42221,1.35569,0.6009,0.33333,0.3832,0.2073,1.65635,1.55274,1.39521,0.001505,0.001505,0.001505
27,937.462,1.48626,1.46466,1.36663,0.54625,0.38633,0.39481,0.22943,1.52026,1.57311,1.3059,0.0014852,0.0014852,0.0014852
28,972.66,1.445,1.40556,1.34213,0.53549,0.39337,0.38125,0.22652,1.48828,1.66301,1.29271,0.0014654,0.0014654,0.0014654
29,1007.79,1.44031,1.39794,1.3314,0.65184,0.3706,0.41004,0.24168,1.53852,1.49927,1.30299,0.0014456,0.0014456,0.0014456
30,1041.92,1.42254,1.38787,1.32873,0.59544,0.37681,0.40176,0.23989,1.48188,1.48516,1.28591,0.0014258,0.0014258,0.0014258
31,1076.8,1.43405,1.398,1.33683,0.57797,0.37427,0.38976,0.229,1.52433,1.71749,1.3071,0.001406,0.001406,0.001406
32,1109.77,1.41347,1.36048,1.3076,0.65239,0.37681,0.41388,0.24129,1.55815,1.47318,1.30463,0.0013862,0.0013862,0.0013862
33,1146.01,1.41734,1.34861,1.30758,0.55375,0.4058,0.42165,0.24562,1.49864,1.44241,1.27027,0.0013664,0.0013664,0.0013664
34,1180.1,1.41972,1.36253,1.32285,0.61313,0.37681,0.41604,0.24047,1.51482,1.57304,1.28856,0.0013466,0.0013466,0.0013466
